cycle	capture_csv	capture_status	capture_sha256	record_artifact	replay_artifact	status	failure_class
cycle_01	artifacts/stability_envelope/20260420T224801Z/cycle_01/run_01.csv	STATE,CAPTURE_DONE,138	b6243038335e15871ff9750b0b1bfa0cc75cc03639fe25d0cd22644abeff43a1	artifacts/20260420T224805Z-4196125988a4c8fd	artifacts/20260420T224806Z-a72394bd64079308	PASS	-
cycle_02	artifacts/stability_envelope/20260420T224801Z/cycle_02/run_01.csv	STATE,CAPTURE_DONE,138	b6243038335e15871ff9750b0b1bfa0cc75cc03639fe25d0cd22644abeff43a1	artifacts/20260420T224810Z-6d6c2fb955185ac5	artifacts/20260420T224810Z-9ba9c695f2ffaa54	PASS	-
cycle_03	artifacts/stability_envelope/20260420T224801Z/cycle_03/run_01.csv	STATE,CAPTURE_DONE,138	b6243038335e15871ff9750b0b1bfa0cc75cc03639fe25d0cd22644abeff43a1	artifacts/20260420T224814Z-3c39b479c82a2f8d	artifacts/20260420T224815Z-08bc1edcd592cc1b	PASS	-
cycle_04	artifacts/stability_envelope/20260420T224801Z/cycle_04/run_01.csv	STATE,CAPTURE_DONE,138	b6243038335e15871ff9750b0b1bfa0cc75cc03639fe25d0cd22644abeff43a1	artifacts/20260420T224819Z-25e02cca1f23f693	artifacts/20260420T224819Z-7b8c91140b0e9d89	PASS	-
cycle_05	artifacts/stability_envelope/20260420T224801Z/cycle_05/run_01.csv	STATE,CAPTURE_DONE,138	b6243038335e15871ff9750b0b1bfa0cc75cc03639fe25d0cd22644abeff43a1	artifacts/20260420T224823Z-80e8a72ca1b322e3	artifacts/20260420T224824Z-f8499d4b91209677	PASS	-
